field_id,crop,profit
F1,Groundnut,9128460.833333332
F1,Maize,593864028.4889921
F1,Onion,307093323.5869116
F1,Rice,1139337.1848739495
F1,Soyabean,2329369.2307692305
F1,Maize,352584739.11033714
F1,Onion,39514577.052198
F1,Wheat,118438676.08299284
F1,Groundnut,351325464.1666666
F1,Maize,47171670.29239766
F1,Onion,12590950.359499162
F1,Coconut,111537562.5
F1,Garlic,235541.36029411765
F1,Turmeric,383533125.0
F1,Groundnut,18408851.666666664
F1,Maize,1025491524.9002409
F1,Onion,429275622.23563826
F1,Rice,1458351.5966386553
F1,Soyabean,37571477.81593406
F1,Maize,378441885.7056244
F1,Onion,43122121.43538432
F1,Wheat,131455379.79353932
F1,Groundnut,338639309.1666666
F1,Maize,46903140.85999312
F1,Onion,14518814.986877596
F1,Coconut,105053812.5
F1,Turmeric,404931250.0
F1,Groundnut,17016160.0
F1,Maize,931702026.2697799
F1,Onion,366737466.47256446
F1,Rice,692717.0084033612
F1,Soyabean,24967926.44230769
F1,Maize,455314030.0945993
F1,Onion,44544752.5742084
F1,Wheat,228925167.98787025
F1,Groundnut,334220678.3333333
F1,Maize,54522663.504471965
F1,Onion,12763793.395057227
F1,Coconut,113124375.0
F1,Turmeric,628334375.0
F1,Rice,239315497.00840333
F1,Rice,3846402.3361344533
F1,Rice,113004019.3445378
F1,Groundnut,310063808.3333333
F1,Maize,84318241.7750258
F1,Onion,1427063.0115307039
F1,Potato,29357488.919498213
F1,Rice,360641235.15126044
F1,Soyabean,551145.3983516484
F1,Groundnut,16699639.166666666
F1,Maize,777616.4813381494
F1,Potato,14903638.838628234
F1,Maize,5471287.185242519
F1,Onion,8247715.10701441
F1,Potato,34018066.04775931
F1,Rice,196020683.98319325
F1,Coconut,1150097812.5
F1,Garlic,597912.6838235294
F1,Turmeric,8249375.0
F1,Groundnut,180708074.16666666
F1,Maize,84340619.22772619
F1,Rice,295407345.2941176
F1,Soyabean,176782.48626373624
F1,Groundnut,6786206.666666666
F1,Maize,833560.1130890953
F1,Rice,15759311.941176469
F1,Wheat,31732.578524004082
F1,Maize,1974810.2008083938
F1,Rice,198372275.93277308
F1,Banana,424466078.77375567
F1,Coconut,1198265250.0
F1,Garlic,380489.88970588235
F1,Onion,1768317.2099402202
F1,Potato,46714230.98306333
F1,Tapioca,6426750.0
F1,Turmeric,8877500.0
F1,Groundnut,210119190.0
F1,Maize,88642684.50937393
F1,Rice,338055014.7983193
F1,Soyabean,155984.54670329668
F1,Groundnut,13357179.166666666
F1,Maize,296501.2482800138
F1,Rice,13963716.537815124
F1,Maize,4453113.087375301
F1,Rice,168530756.3865546
F1,Banana,289699616.0927602
F1,Coconut,1228482937.5
F1,Garlic,54355.69852941176
F1,Onion,1276379.3395057227
F1,Potato,93402942.03660846
F1,Tapioca,6457500.0
F1,Turmeric,28391250.0
F1,Groundnut,178720323.3333333
F1,Maize,132687105.78689371
F1,Rice,258146461.99999997
F1,Maize,509087.0489336086
F1,Rice,2953161.983193277
F1,Maize,6137016.403078776
F1,Rice,71924077.80672269
F1,Coconut,1341351375.0
F1,Onion,2051957.063163714
F1,Potato,86340301.54244688
F1,Turmeric,8500625.0
F1,Groundnut,129912810.83333333
F1,Maize,82908462.25490196
F1,Rice,118062676.44537814
F1,Groundnut,797632.5
F1,Maize,2808370.313897489
F1,Rice,610684.7310924369
F1,Maize,1499289.3309253526
F1,Rice,10864719.394957982
F1,Banana,230652502.01055807
F1,Brinjal,15615478.728638632
F1,Coconut,1309444500.0
F1,Grapes,1062624562.5
F1,Mango,3283132125.0
F1,Onion,265912.3623970256
F1,Papaya,923544.7727272726
F1,Potato,16772973.675836314
F1,Tapioca,9245500.0
F1,Tomato,188873425.9403288
F1,Turmeric,4731875.0
F1,Groundnut,123253212.5
F1,Maize,180183249.14344686
F1,Rice,126493771.61344536
F1,Groundnut,5190941.666666666
F1,Maize,1286703.5302717579
F1,Rice,6480549.907563024
F1,Maize,1448940.0623495013
F1,Rice,17500219.159663863
F1,Banana,201142738.87556562
